"Code_point_Libelle";"ID.interne.passage";"Date";"CHLOROA";"SALI";"TEMP";"TURB";"NH4";"PO4";"SIOH";"OXYGENE";"NO3+NO2";"TURB-FNU";"Shannon";"Simpson";"BergerParker";"Pielou";"Rspe";"Bacillariophyceae";"Dinophyceae";"Cryptophyceae";"Haptophyta";"Ciliophora";"DinoBac";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"cluster"
"22B - Toulon gde rade";60145004;2010-08-03;0,11;36,9;21,65;NA;NA;NA;NA;8,115;NA;0,22;1,64337554693366;0,692988822760923;0,493975903614458;0,640704870898528;13;7000;800;500;NA;NA;0,114285714285714;13;46;3,53846153846154;0,58974358974359;0,13136966556584;1;0,0484404536862004;7,07692307692308;-0,17369970559372;0,834249675851119;0,774774774774775;3,19565217391304;0,115093108446905;3;1
"22B - Toulon gde rade";60145573;2010-08-17;0,41;35,7;19;NA;NA;NA;NA;NA;NA;0,352;1,50686608245274;0,611256267212767;0,605042016806723;0,606407521417878;12;10200;900;800;NA;NA;0,0882352941176471;12;37;3,08333333333333;0,560606060606061;0,173847680447371;3;0,155588020452885;6,16666666666667;0,141141942369263;0,763247642614776;0,75;3,51351351351351;0,15109508855253;3;1
"22B - Toulon gde rade";60145780;2010-08-31;0,12;35,95;17,65;NA;NA;NA;NA;8,35;NA;0,18;0,692060735413614;0,276898148148148;0,847222222222222;0,288611743500362;11;34000;200;1800;NA;NA;0,00588235294117647;11;34;3,09090909090909;0,618181818181818;0,164601780353082;1;0,0899653979238755;6,18181818181818;0,243150684931507;0,796121777076872;0,87378640776699;3,08823529411765;0,151473454003145;2;1
"22B - Toulon gde rade";60146441;2010-09-14;0,13;36,65;22,1;NA;NA;NA;NA;8,02;NA;0,376;1,07235259950848;0,557669441141498;0,586206896551724;0,551080223323302;7;2100;300;3400;NA;NA;0,142857142857143;7;15;2,14285714285714;0,714285714285714;0,137198111729203;1;-0,00222222222222213;4,28571428571429;-0,458333333333331;0,796058567266167;0,842105263157895;2,53333333333333;0,229835590459671;2;1
"22B - Toulon gde rade";60147281;2010-09-27;1,26;36,4;16,5;NA;NA;NA;NA;NA;NA;0,231;1,15346892534233;0,617361109431474;0,477967858994298;0,42594074691557;15;192100;200;400;NA;NA;0,00104112441436752;15;68;4,53333333333333;0,647619047619048;0,155964944819153;4;0,0729887543252596;9,06666666666667;0,0804659258267517;0,775467491396792;0,786310517529215;2,97058823529412;0,133527788204752;3;1
"22B - Toulon gde rade";60149548;2010-10-26;0,28;36,1;18,2;NA;NA;NA;NA;NA;NA;0,4;2,04943774099776;0,844290657439446;0,264705882352941;0,890059501919593;10;1900;500;700;NA;NA;0,263157894736842;10;28;2,8;0,622222222222222;0,150632745060417;2;0,0593112244897959;5,6;0,351351351351353;0,825579272820275;0,75;2,92857142857143;0,149387899879102;3;1
"22B - Toulon gde rade";60149824;2010-11-08;0,75;36,8;18,1;NA;NA;NA;NA;NA;NA;0,281;1,90226630487041;0,782986111111111;0,354166666666667;0,765528276497911;12;4100;400;200;NA;NA;0,0975609756097561;12;36;3;0,545454545454545;0,182462955468435;3;0,11766975308642;6;-0,0128331688055269;0,809441149991619;0,683168316831683;3,38888888888889;0,127691402570556;3;1
"22B - Toulon gde rade";60150775;2010-11-24;0,31;36,1;16,5;NA;NA;NA;NA;NA;NA;0,246;2,30109187384736;0,881944444444444;0,208333333333333;0,92602749243867;12;2000;200;100;NA;NA;0,1;12;39;3,25;0,590909090909091;0,153687941694881;2;0,153517422748192;6,5;0,288492381716118;0,786357138212435;0,844897959183673;3,64102564102564;0,144253528139269;2;1
"22B - Toulon gde rade";60151115;2010-12-06;0,24;37,2;15;NA;NA;NA;NA;NA;NA;0,079;1,85332597994223;0,770760548239721;0,39344262295082;0,745833240898746;12;4700;200;900;NA;NA;0,0425531914893617;12;43;3,58333333333333;0,651515151515151;0,148072948550115;3;0,101676581936182;7,16666666666667;0,00996080992815168;0,807525983741331;0,800675675675676;2,69767441860465;0,137559382125819;2;1
"22B - Toulon gde rade";60151296;2010-12-20;0,43;36,9;14,8;NA;NA;NA;NA;NA;NA;0,187;1,23576231308301;0,573398448721632;0,601694915254237;0,515352912656965;11;11400;200;NA;NA;NA;0,0175438596491228;11;45;4,09090909090909;0,818181818181818;0,131025830420893;5;0,0049382716049382;8,18181818181818;-0,137640449438207;0,814010331825367;0,850746268656716;1,95555555555556;0,156431561802408;2;1
