"Code_point_Libelle";"Date";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"cluster"
"Anse de Carteau 2";2010-08-17;17;101;5,94117647058824;0,742647058823529;0,127940047901956;3;0,0303891775316146;11,8823529411765;-0,219615615061986;0,807602327711454;0,845317725752508;2,36633663366337;0,120435729844332;2;1
"Anse de Carteau 2";2010-08-30;20;135;6,75;0,710526315789474;0,108254404245779;4;0,0101783264746227;13,5;0,146988376706392;0,818133034706854;0,84594447468699;2,80740740740741;0,1023262993331;3;1
"Anse de Carteau 2";2010-09-15;20;137;6,85;0,721052631578947;0,103780002703051;4;0,0375086578933348;13,7;0,132049567748071;0,832332632955612;0,864836325237592;2,57664233576642;0,10019964941879;3;1
"Anse de Carteau 2";2010-09-27;15;52;3,46666666666667;0,495238095238095;0,0995373145802577;3;0,23594674556213;6,93333333333333;-0,0995995995996003;0,842671479491439;0,664670658682635;3,92307692307692;0,100629796207465;3;1
"Anse de Carteau 2";2010-10-12;22;156;7,09090909090909;0,675324675324675;0,142752298084319;4;0,0410297501643654;14,1818181818182;0,117896522476671;0,814345790311438;0,83883751651255;2,87179487179487;0,100077128118747;3;1
"Anse de Carteau 2";2010-11-08;15;59;3,93333333333333;0,561904761904762;0,167582413849561;4;0,152111462223499;7,86666666666667;-0,0108929989787815;0,804949376305966;0,719457013574661;3,22033898305085;0,11150926561929;3;1
"Anse de Carteau 2";2010-11-22;14;57;4,07142857142857;0,626373626373626;0,142246412911076;3;0,0894121268082488;8,14285714285714;0,0822811626133359;0,810313313108227;0,751693002257336;2,85964912280702;0,118713431242916;3;1
"Anse de Carteau 2";2011-01-03;12;38;3,16666666666667;0,575757575757576;0,149427792220574;4;0,154778393351801;6,33333333333333;-0,203287406333094;0,836882484636856;0,63013698630137;3,07894736842105;0,123670922790313;2;1
"Anse de Carteau 2";2011-01-31;9;31;3,44444444444444;0,861111111111111;0,167679912322407;3;-0,0291363163371487;6,88888888888889;-0,291666666666659;0,774081183074717;0,921875;1,93548387096774;0,200359974632644;2;1
"Anse de Carteau 2";2011-02-14;8;11;1,375;0,392857142857143;0,184138478594765;2;0,210743801652892;2,75;-0,018518518518518;0,863777324014679;0,285714285714286;5,18181818181818;0,174883094565683;2;1
"Anse de Carteau 2";2011-02-28;13;35;2,69230769230769;0,448717948717949;0,105368373201571;2;0,267755102040816;5,38461538461539;-0,137566137566139;0,871122639906374;0,571428571428571;4,31428571428571;0,104230404259959;2;1
"Anse de Carteau 2";2011-03-14;15;71;4,73333333333333;0,676190476190476;0,143954075653877;1;0,0351120809363221;9,46666666666667;0,0123439206190973;0,800825491743669;0,825892857142857;2,92957746478873;0,122972213357582;3;1
"Anse de Carteau 2";2011-03-28;12;55;4,58333333333333;0,833333333333333;0,160590208168654;3;0,0125619834710743;9,16666666666667;-0,169620253164557;0,748788356045242;0,909473684210526;2,29090909090909;0,183736427987892;2;1
"Anse de Carteau 2";2011-04-11;15;58;3,86666666666667;0,552380952380952;0,137647665056645;4;0,133174791914388;7,73333333333333;0,352660950047636;0,801749751527848;0,770833333333333;3,8448275862069;0,113639275664658;3;1
"Anse de Carteau 2";2011-04-26;22;147;6,68181818181818;0,636363636363636;0,119582298428228;4;0,0957240038872692;13,3636363636364;0,149757397304025;0,809033414016316;0,795090180360721;3,25850340136054;0,0969561181453767;3;1
"Anse de Carteau 2";2011-05-09;11;29;2,63636363636364;0,527272727272727;0,179653344537344;3;0,157550535077289;5,27272727272727;0,527407407407411;0,777555877320324;0,733333333333333;3,75862068965517;0,149566196083849;3;1
"Anse de Carteau 2";2011-05-23;19;115;6,05263157894737;0,672514619883041;0,118342780644756;3;0,0331568998109641;12,1052631578947;0,170830593907519;0,819667876538456;0,830604982206406;2,9304347826087;0,101464111507591;3;1
"Anse de Carteau 2";2011-06-06;18;108;6;0,705882352941177;0,119956027815157;2;0,0428240740740741;12;0,0385205361622827;0,830533838261163;0,84238714613619;2,92592592592593;0,100025280206569;2;1
"Anse de Carteau 2";2011-06-20;20;150;7,5;0,789473684210526;0,124563879084815;4;0,00517777777777784;15;-0,0251683800070926;0,802758630993793;0,881165919282511;2,2;0,118414326771239;3;1
"Anse de Carteau 2";2011-07-04;19;98;5,15789473684211;0,573099415204678;0,118835291835063;5;0,0724177426072469;10,3157894736842;0,108764294752774;0,819884850588763;0,731635651322233;3,55102040816327;0,0964673384051539;3;1
"Anse de Carteau 2";2011-07-18;18;112;6,22222222222222;0,73202614379085;0,147438869634654;1;-0,00713488520408161;12,4444444444444;-0,122351923908342;0,807483123087822;0,871994342291372;2,41964285714286;0,110418514485617;3;1
"Anse de Carteau 2";2011-08-01;15;70;4,66666666666667;0,666666666666667;0,126408786939962;4;0,0718367346938776;9,33333333333333;-0,0387420429155604;0,828155366375014;0,784688995215311;2,62857142857143;0,109189217662729;3;1
"Anse de Carteau 2";2011-08-16;14;66;4,71428571428571;0,725274725274725;0,120066477848991;3;-0,0118227731864096;9,42857142857143;0,0885551527705846;0,791327415088323;0,892682926829268;2,66666666666667;0,139373335134745;3;1
