"Date";"CHLOROA";"year";"CHLOROA_noseason";"Code_point_Libelle";"Outlier";"Changepoint";"Trend";"pvaltrend";"pvalchange";"psens";"slopesens"
2011-07-30;0,588461538461538;"2011";1,01729451460803;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-08-09;0,365714285714286;"2011";0,712594835820533;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-08-19;0,422857142857143;"2011";0,659661007583903;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-08-29;0,615;"2011";0,759625110925397;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-09-08;0,738571428571429;"2011";0,735917543583758;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-09-18;0,567142857142857;"2011";0,673840388844644;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-09-28;0,826428571428572;"2011";1,09416902871108;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-10-08;1,13357142857143;"2011";1,23525712085908;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-10-18;1,38275862068966;"2011";1,1386218023529;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-10-28;1,11034482758621;"2011";0,811766412663121;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-11-07;0,837931034482759;"2011";0,848734662015356;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-11-17;0,591;"2011";0,893592424903816;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-11-27;0,446;"2011";0,975580045102057;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-12-07;0,327142857142857;"2011";1,00267365910578;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-12-17;0,312857142857143;"2011";1,08977954147729;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-12-27;0,298571428571429;"2011";1,0914406202468;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2012-01-06;0,364285714285714;"2012";1,1569966986615;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
