"year";"month";"date";"site";"sampling_effort";"sampling_na"
1997;1;"1997-A";"18A - Carry";0;0
1997;1;"1997-A";"21E - ile embiez";0;0
1997;1;"1997-A";"22B - Toulon gde rade";0;0
1997;1;"1997-A";"27B - Frejus est";0;0
1997;1;"1997-A";"Agde";0;0
1997;1;"1997-A";"Anse Moulinet";0;0
1997;1;"1997-A";"Anse de Carteau 2";0;0
1997;1;"1997-A";"Antifer ponton pétrolier";0;0
1997;1;"1997-A";"Antifer ponton pêche";0;0
1997;1;"1997-A";"Antoine";3;1
1997;1;"1997-A";"Arcachon - Bouée 7";0;0
1997;1;"1997-A";"At so";2;1
1997;1;"1997-A";"Auger";1;1
1997;1;"1997-A";"BIN - Biguglia nord";0;0
1997;1;"1997-A";"BIS - Biguglia sud";0;0
1997;2;"1997-B";"18A - Carry";0;0
1997;2;"1997-B";"21E - ile embiez";0;0
1997;2;"1997-B";"22B - Toulon gde rade";0;0
1997;2;"1997-B";"27B - Frejus est";0;0
1997;2;"1997-B";"Agde";0;0
1997;2;"1997-B";"Anse Moulinet";0;0
1997;2;"1997-B";"Anse de Carteau 2";0;0
1997;2;"1997-B";"Antifer ponton pétrolier";0;0
1997;2;"1997-B";"Antifer ponton pêche";0;0
1997;2;"1997-B";"Antoine";2;1
1997;2;"1997-B";"Arcachon - Bouée 7";0;0
1997;2;"1997-B";"At so";1;1
1997;2;"1997-B";"Auger";2;1
1997;2;"1997-B";"BIN - Biguglia nord";0;0
1997;2;"1997-B";"BIS - Biguglia sud";0;0
1997;3;"1997-C";"18A - Carry";0;0
1997;3;"1997-C";"21E - ile embiez";0;0
1997;3;"1997-C";"22B - Toulon gde rade";0;0
1997;3;"1997-C";"27B - Frejus est";0;0
1997;3;"1997-C";"Agde";0;0
1997;3;"1997-C";"Anse Moulinet";0;0
1997;3;"1997-C";"Anse de Carteau 2";0;0
1997;3;"1997-C";"Antifer ponton pétrolier";0;0
1997;3;"1997-C";"Antifer ponton pêche";0;0
1997;3;"1997-C";"Antoine";2;1
1997;3;"1997-C";"Arcachon - Bouée 7";0;0
1997;3;"1997-C";"At so";2;1
1997;3;"1997-C";"Auger";2;1
1997;3;"1997-C";"BIN - Biguglia nord";0;0
1997;3;"1997-C";"BIS - Biguglia sud";0;0
1997;4;"1997-D";"18A - Carry";0;0
1997;4;"1997-D";"21E - ile embiez";0;0
1997;4;"1997-D";"22B - Toulon gde rade";0;0
1997;4;"1997-D";"27B - Frejus est";0;0
1997;4;"1997-D";"Agde";0;0
1997;4;"1997-D";"Anse Moulinet";0;0
1997;4;"1997-D";"Anse de Carteau 2";0;0
1997;4;"1997-D";"Antifer ponton pétrolier";0;0
1997;4;"1997-D";"Antifer ponton pêche";0;0
1997;4;"1997-D";"Antoine";2;1
1997;4;"1997-D";"Arcachon - Bouée 7";0;0
1997;4;"1997-D";"At so";2;1
1997;4;"1997-D";"Auger";2;1
1997;4;"1997-D";"BIN - Biguglia nord";0;0
1997;4;"1997-D";"BIS - Biguglia sud";0;0
1997;5;"1997-E";"18A - Carry";0;0
1997;5;"1997-E";"21E - ile embiez";0;0
1997;5;"1997-E";"22B - Toulon gde rade";0;0
1997;5;"1997-E";"27B - Frejus est";0;0
1997;5;"1997-E";"Agde";0;0
1997;5;"1997-E";"Anse Moulinet";0;0
1997;5;"1997-E";"Anse de Carteau 2";0;0
1997;5;"1997-E";"Antifer ponton pétrolier";0;0
1997;5;"1997-E";"Antifer ponton pêche";0;0
1997;5;"1997-E";"Antoine";3;1
1997;5;"1997-E";"Arcachon - Bouée 7";0;0
1997;5;"1997-E";"At so";2;1
1997;5;"1997-E";"Auger";3;1
1997;5;"1997-E";"BIN - Biguglia nord";0;0
1997;5;"1997-E";"BIS - Biguglia sud";0;0
1997;6;"1997-F";"18A - Carry";0;0
1997;6;"1997-F";"21E - ile embiez";0;0
1997;6;"1997-F";"22B - Toulon gde rade";0;0
1997;6;"1997-F";"27B - Frejus est";0;0
1997;6;"1997-F";"Agde";0;0
1997;6;"1997-F";"Anse Moulinet";0;0
1997;6;"1997-F";"Anse de Carteau 2";0;0
1997;6;"1997-F";"Antifer ponton pétrolier";0;0
1997;6;"1997-F";"Antifer ponton pêche";0;0
1997;6;"1997-F";"Antoine";2;1
1997;6;"1997-F";"Arcachon - Bouée 7";0;0
1997;6;"1997-F";"At so";2;1
1997;6;"1997-F";"Auger";2;1
1997;6;"1997-F";"BIN - Biguglia nord";0;0
1997;6;"1997-F";"BIS - Biguglia sud";0;0
1997;7;"1997-G";"18A - Carry";0;0
1997;7;"1997-G";"21E - ile embiez";0;0
1997;7;"1997-G";"22B - Toulon gde rade";0;0
1997;7;"1997-G";"27B - Frejus est";0;0
1997;7;"1997-G";"Agde";0;0
1997;7;"1997-G";"Anse Moulinet";0;0
1997;7;"1997-G";"Anse de Carteau 2";0;0
1997;7;"1997-G";"Antifer ponton pétrolier";0;0
1997;7;"1997-G";"Antifer ponton pêche";0;0
1997;7;"1997-G";"Antoine";2;1
1997;7;"1997-G";"Arcachon - Bouée 7";0;0
1997;7;"1997-G";"At so";1;1
1997;7;"1997-G";"Auger";3;1
1997;7;"1997-G";"BIN - Biguglia nord";0;0
1997;7;"1997-G";"BIS - Biguglia sud";0;0
1997;8;"1997-H";"18A - Carry";0;0
1997;8;"1997-H";"21E - ile embiez";0;0
1997;8;"1997-H";"22B - Toulon gde rade";0;0
1997;8;"1997-H";"27B - Frejus est";0;0
1997;8;"1997-H";"Agde";0;0
1997;8;"1997-H";"Anse Moulinet";0;0
1997;8;"1997-H";"Anse de Carteau 2";0;0
1997;8;"1997-H";"Antifer ponton pétrolier";0;0
1997;8;"1997-H";"Antifer ponton pêche";0;0
1997;8;"1997-H";"Antoine";2;1
1997;8;"1997-H";"Arcachon - Bouée 7";0;0
1997;8;"1997-H";"At so";1;1
1997;8;"1997-H";"Auger";2;1
1997;8;"1997-H";"BIN - Biguglia nord";0;0
1997;8;"1997-H";"BIS - Biguglia sud";0;0
1997;9;"1997-I";"18A - Carry";0;0
1997;9;"1997-I";"21E - ile embiez";0;0
1997;9;"1997-I";"22B - Toulon gde rade";0;0
1997;9;"1997-I";"27B - Frejus est";0;0
1997;9;"1997-I";"Agde";0;0
1997;9;"1997-I";"Anse Moulinet";0;0
1997;9;"1997-I";"Anse de Carteau 2";0;0
1997;9;"1997-I";"Antifer ponton pétrolier";0;0
1997;9;"1997-I";"Antifer ponton pêche";0;0
1997;9;"1997-I";"Antoine";2;1
1997;9;"1997-I";"Arcachon - Bouée 7";0;0
1997;9;"1997-I";"At so";2;1
1997;9;"1997-I";"Auger";3;1
1997;9;"1997-I";"BIN - Biguglia nord";0;0
1997;9;"1997-I";"BIS - Biguglia sud";0;0
1997;10;"1997-J";"18A - Carry";0;0
1997;10;"1997-J";"21E - ile embiez";0;0
1997;10;"1997-J";"22B - Toulon gde rade";0;0
1997;10;"1997-J";"27B - Frejus est";0;0
1997;10;"1997-J";"Agde";0;0
1997;10;"1997-J";"Anse Moulinet";0;0
1997;10;"1997-J";"Anse de Carteau 2";0;0
1997;10;"1997-J";"Antifer ponton pétrolier";0;0
1997;10;"1997-J";"Antifer ponton pêche";0;0
1997;10;"1997-J";"Antoine";2;1
1997;10;"1997-J";"Arcachon - Bouée 7";0;0
1997;10;"1997-J";"At so";1;1
1997;10;"1997-J";"Auger";2;1
1997;10;"1997-J";"BIN - Biguglia nord";0;0
1997;10;"1997-J";"BIS - Biguglia sud";0;0
1997;11;"1997-K";"18A - Carry";0;0
1997;11;"1997-K";"21E - ile embiez";0;0
1997;11;"1997-K";"22B - Toulon gde rade";0;0
1997;11;"1997-K";"27B - Frejus est";0;0
1997;11;"1997-K";"Agde";0;0
1997;11;"1997-K";"Anse Moulinet";0;0
1997;11;"1997-K";"Anse de Carteau 2";0;0
1997;11;"1997-K";"Antifer ponton pétrolier";0;0
1997;11;"1997-K";"Antifer ponton pêche";0;0
1997;11;"1997-K";"Antoine";2;1
1997;11;"1997-K";"Arcachon - Bouée 7";0;0
1997;11;"1997-K";"At so";1;1
1997;11;"1997-K";"Auger";2;1
1997;11;"1997-K";"BIN - Biguglia nord";0;0
1997;11;"1997-K";"BIS - Biguglia sud";0;0
1997;12;"1997-L";"18A - Carry";0;0
1997;12;"1997-L";"21E - ile embiez";0;0
1997;12;"1997-L";"22B - Toulon gde rade";0;0
1997;12;"1997-L";"27B - Frejus est";0;0
1997;12;"1997-L";"Agde";0;0
1997;12;"1997-L";"Anse Moulinet";0;0
1997;12;"1997-L";"Anse de Carteau 2";0;0
1997;12;"1997-L";"Antifer ponton pétrolier";0;0
1997;12;"1997-L";"Antifer ponton pêche";0;0
1997;12;"1997-L";"Antoine";3;1
1997;12;"1997-L";"Arcachon - Bouée 7";0;0
1997;12;"1997-L";"At so";1;1
1997;12;"1997-L";"Auger";2;1
1997;12;"1997-L";"BIN - Biguglia nord";0;0
1997;12;"1997-L";"BIS - Biguglia sud";0;0
1998;1;"1998-A";"18A - Carry";0;0
1998;1;"1998-A";"21E - ile embiez";0;0
1998;1;"1998-A";"22B - Toulon gde rade";0;0
1998;1;"1998-A";"27B - Frejus est";0;0
1998;1;"1998-A";"Agde";0;0
1998;1;"1998-A";"Anse Moulinet";0;0
1998;1;"1998-A";"Anse de Carteau 2";0;0
1998;1;"1998-A";"Antifer ponton pétrolier";0;0
1998;1;"1998-A";"Antifer ponton pêche";0;0
1998;1;"1998-A";"Antoine";2;1
1998;1;"1998-A";"Arcachon - Bouée 7";0;0
1998;1;"1998-A";"At so";1;1
1998;1;"1998-A";"Auger";2;1
1998;1;"1998-A";"BIN - Biguglia nord";0;0
1998;1;"1998-A";"BIS - Biguglia sud";0;0
1998;2;"1998-B";"18A - Carry";0;0
1998;2;"1998-B";"21E - ile embiez";0;0
